intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
false,0.704506,is there a flight that leaves Hortolândia,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Móstoles,,false,false,true,1,true,,,,,
true,0.968271255,can we fly from Biên Hòa,,false,false,true,1,true,,,,,
true,0.589986563,is there any way to travel from Bellary,,false,false,true,1,true,,,,,
true,0.688183069,can I depart from Kotli,,false,false,false,1,false,,,,,
false,0.704506,is there a flight that leaves Nkongsamba,,false,false,true,1,true,,,,,
true,0.9933854,I want to fly from Juan Díaz,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Myeik,,false,false,false,1,false,,,,,
true,0.986401856,I want to fly from Arish,,false,false,true,1,true,,,,,
true,0.6885568,can I depart from Portmore,,false,false,false,1,false,,,,,
true,0.441131324,is there any way to travel from Latakia,,false,false,true,1,true,,,,,
true,0.6890182,can I depart from Gaya,,false,false,false,1,false,,,,,
true,0.8243385,can we depart from Khabarovsk,,false,false,true,1,true,,,,,
false,0.543940961,is there a flight that leaves Borough Park,,false,false,true,1,true,,,,,
true,0.988629162,can we fly from Newport,,false,false,true,1,true,,,,,
true,0.5812272,is there any way to travel from Salerno,,false,false,true,1,true,,,,,
true,0.625283062,can I depart from Pakpattan,,false,false,false,1,false,,,,,
true,0.984044,can we fly from Ankara,,false,false,true,1,true,,,,,
true,0.9257582,can I go from Bāneh,,false,false,true,1,true,,,,,
true,0.9856839,I want to fly from Durg,,false,false,true,1,true,,,,,
true,0.632783,is there any way to travel from Van Nuys,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Shuangcheng,,false,false,true,1,true,,,,,
true,0.998794556,we want to fly from Abobo,,false,false,false,1,false,,,,,
true,0.987149537,can I fly from Laizhou,,false,false,true,1,true,,,,,
true,0.819151938,can we depart from Erfurt,,false,false,true,1,true,,,,,
true,0.987149537,can I fly from Gashua,,false,false,true,1,true,,,,,
false,0.421978742,is there a flight that leaves Salamanca,,false,false,true,1,true,,,,,
true,0.9596414,can I fly from Rawalpindi,,false,false,true,1,true,,,,,
true,0.998794556,we want to fly from Ormoc,,false,false,true,1,true,,,,,
true,0.625283062,can I depart from Masaya,,false,false,true,1,true,,,,,
true,0.9833999,I want to fly from Nova Iguaçu,,false,false,true,1,true,,,,,
true,0.3614666,is there a flight that leaves Mogi das Cruzes,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Brakpan,,false,false,false,1,false,,,,,
true,0.8243385,can we depart from Guangyuan,,false,false,true,1,true,,,,,
false,0.5270442,is there a flight that leaves Queens,,false,false,true,1,true,,,,,
true,0.8206823,can we depart from Maidstone,,false,false,true,1,true,,,,,
true,0.959458,can I fly from Jamshedpur,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Tarragona,,false,false,true,1,true,,,,,
true,0.8243385,can we depart from Jamālpur,,false,false,true,1,true,,,,,
