intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
false,0.506042,is there a flight that leaves Lancaster,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Khanpur,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Uvira,,false,false,false,1,false,,,,,
true,0.879686832,can I go from Düsseldorf,,false,false,true,1,true,,,,,
true,0.992477238,we want to fly from Gera,,false,false,true,1,true,,,,,
true,0.9590673,can I fly from Skopje,,false,false,true,1,true,,,,,
true,0.987149537,can I fly from Yueyang,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Agadez,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Nanchong,,false,false,true,1,true,,,,,
true,0.8243385,can we depart from Sunggal,,false,false,true,1,true,,,,,
true,0.998794556,we want to fly from Pindamonhangaba,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Blitar,,false,false,true,1,true,,,,,
true,0.9985793,we want to fly from Tando Allahyar,,false,false,true,1,true,,,,,
true,0.97715193,can we go from Luoyang,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Izumisano,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Soran,,false,false,true,1,true,,,,,
true,0.9866808,I want to fly from Taguig,,false,false,true,1,true,,,,,
true,0.9946568,we want to fly from Basingstoke,,false,false,true,1,true,,,,,
true,0.589430451,is there any way to travel from Manzanillo,,false,false,true,1,true,,,,,
true,0.609529138,is there any way to travel from Elk Grove,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Yamagata,,false,false,true,1,true,,,,,
false,0.357608736,is there a flight that leaves Le Havre,,false,false,true,1,true,,,,,
false,0.745086253,is there a flight that leaves Porto-Novo,,false,false,false,1,false,,,,,
true,0.5613434,is there any way to travel from Chandler,,false,false,true,1,true,,,,,
true,0.998794556,we want to fly from Zhalantun,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Nizhnekamsk,,false,false,true,1,true,,,,,
true,0.997493565,I want to fly from Tongshan,,false,false,true,1,true,,,,,
true,0.97715193,can we go from Carapicuíba,,false,false,true,1,true,,,,,
true,0.815045536,can we depart from Bremerhaven,,false,false,true,1,true,,,,,
true,0.8418863,can we depart from Sandy Springs,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Semey,,false,false,true,1,true,,,,,
true,0.957640469,can I fly from Launceston,,false,false,true,1,true,,,,,
true,0.9685369,can we go from Shangri-La,,false,false,false,1,false,,,,,
true,0.987149537,can I fly from Moers,,false,false,true,1,true,,,,,
false,0.704506,is there a flight that leaves Eunápolis,,false,false,true,1,true,,,,,
true,0.6190767,is there any way to travel from Corpus Christi,,false,false,false,1,false,,,,,
false,0.704506,is there a flight that leaves Pālanpur,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Lianghu,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Pekalongan,,false,false,true,1,true,,,,,
true,0.841733754,can we depart from Mumbai,,false,false,true,1,true,,,,,
true,0.998794556,we want to fly from Chengde,,false,false,true,1,true,,,,,
true,0.8243385,can we depart from Mymensingh,,false,false,true,1,true,,,,,
true,0.9846939,we want to fly from Syevyerodonets’k,,false,false,false,1,false,,,,,
true,0.3886271,is there a flight that leaves Ulan-Ude,,false,false,false,1,false,,,,,
true,0.8243385,can we depart from Borivli,,false,false,true,1,true,,,,,
true,0.8233281,can we depart from Várzea Grande,,false,false,true,1,true,,,,,
true,0.993803442,we want to fly from Wolfsburg,,false,false,true,1,true,,,,,
true,0.441131324,is there any way to travel from Zhangzhou,,false,false,true,1,true,,,,,
true,0.9655944,can we go from Liverpool,,false,false,true,1,true,,,,,
true,0.9257582,can I go from Uvira,,false,false,true,1,true,,,,,
true,0.8243385,can we depart from Székesfehérvár,,false,false,true,1,true,,,,,
true,0.996132255,we want to fly from Peoria,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Biysk,,false,false,true,1,true,,,,,
true,0.6885926,can I depart from Alanya,,false,false,true,1,true,,,,,
true,0.8940032,can I go from Albuquerque,,false,false,true,1,true,,,,,
true,0.9892422,can we fly from Nashville,,false,false,true,1,true,,,,,
false,0.41344893,is there a flight that leaves Toowoomba,,false,false,true,1,true,,,,,
true,0.9957312,can we fly from Santa Clara,,false,false,true,1,true,,,,,
true,0.97715193,can we go from Shāntipur,,false,false,true,1,true,,,,,
true,0.82389,can we depart from Cà Mau,,false,false,true,1,true,,,,,
true,0.987149537,can I fly from Kirkuk,,false,false,true,1,true,,,,,
true,0.8308482,can we depart from Bakersfield,,false,false,true,1,true,,,,,
true,0.8732268,can I go from Siegen,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Copiapó,,false,false,true,1,true,,,,,
false,0.447610438,is there a flight that leaves Naga,,false,false,false,1,false,,,,,
true,0.9429219,can I fly from Ubon Ratchathani,,false,false,true,1,true,,,,,
true,0.9946587,can we fly from Isesaki,,false,false,true,1,true,,,,,
true,0.673351467,can I depart from Labuan Bajo,,false,false,true,1,true,,,,,
true,0.952493668,can I go from South Bend,,false,false,true,1,true,,,,,
true,0.8252792,can we depart from Tema,,false,false,true,1,true,,,,,
true,0.587551236,is there any way to travel from Leshan,,false,false,true,1,true,,,,,
true,0.6544242,is there any way to travel from Burton upon Trent,,false,false,false,1,false,,,,,
true,0.8243385,can we depart from Kisarazu,,false,false,true,1,true,,,,,
true,0.987149537,can I fly from Titāgarh,,false,false,true,1,true,,,,,
true,0.97715193,can we go from Timişoara,,false,false,true,1,true,,,,,
true,0.9856839,I want to fly from Taytay,,false,false,false,1,false,,,,,
true,0.97715193,can we go from Zhytomyr,,false,false,true,1,true,,,,,
true,0.9925165,I want to fly from Worcester,,false,false,true,1,true,,,,,
true,0.5739445,is there any way to travel from Colchester,,false,false,true,1,true,,,,,
